Transaction_ID,Sender_ID,Receiver_ID,Amount,Timestamp,Device_Type,Location,Network_ID,Fraud_Label
bbf519ea-aa7d-4dd9-9793-eff262757890,S264,R2231,28146,2024-08-20 13:48:51,Mobile_App,Garissa,Telkom,1
0a0c504d-a802-4d91-92e7-e2aacd7d6c1a,S4106,R435,95556,2024-10-02 11:02:10,USSD,Kajiado,Safaricom,1
50613ad4-51e3-4e94-b364-7f2a2d5eb3a8,S4933,R4564,53812,2024-08-25 07:02:11,Web_Portal,Kericho,Airtel,0
476d4b21-0ed5-4460-a4bf-30fcfb610e3c,S1736,R4926,23367,2024-11-16 17:45:08,Mobile_App,Kakamega,Safaricom,0
2c53ddb3-d541-49d2-bd37-449436e08b36,S3403,R4746,80116,2024-03-11 06:30:41,USSD,Mombasa,Airtel,0
6c34cb24-58cb-4290-98ec-dbaa9b855ea0,S2257,R1027,56641,2024-04-24 18:28:06,Mobile_App,Nakuru,Airtel,0
ef8fa03e-a05b-4955-bf44-46088859b587,S1043,R4889,3217,2024-08-18 08:07:27,Mobile_App,Nanyuki,Telkom,1
c7390ee0-d3ff-4d96-8db9-6c1bd6994ee0,S3579,R1065,6268,2024-09-07 07:09:45,USSD,Eldoret,Airtel,1
05f4146d-2799-4fa7-8292-d373ca5ba8fb,S2238,R795,26951,2024-12-06 21:28:03,Mobile_App,Eldoret,Safaricom,0
eb2c4f9c-a99c-43b1-8911-cbf1c9106f48,S1656,R142,98815,2024-06-27 13:12:43,Mobile_App,Kericho,Airtel,0
39616ea7-9a3f-4512-aa33-e27071b7b9af,S3635,R2063,86346,2024-09-30 06:05:19,Web_Portal,Garissa,Telkom,1
5c2f3062-f557-4304-ac4e-63ba1c0162e1,S101,R4732,91788,2024-10-23 13:37:30,Web_Portal,Nanyuki,Safaricom,0
8cd59274-f97f-4c4a-a867-14056ab1d6f0,S2708,R3279,3766,2024-04-03 19:47:08,USSD,Nairobi,Airtel,1
d6bca91d-7bef-4154-b342-61d2f7d5132d,S2975,R2007,37825,2024-07-24 23:46:44,Mobile_App,Kitale,Airtel,0
5bf5ffde-55ec-4469-9860-3a1160480b36,S2591,R3257,68357,2024-01-09 23:01:40,Mobile_App,Eldoret,Telkom,0
d4c325fc-cfa9-4a49-8a4f-7b5ce553b36d,S3210,R3209,40961,2024-11-09 19:28:31,USSD,Kajiado,Safaricom,1
74af4367-fc21-453f-b27c-f21151a4da4f,S1955,R1703,58891,2024-10-04 11:20:52,Mobile_App,Nanyuki,Safaricom,0
459b7949-f17b-47c0-9c78-43b90917b590,S2709,R11,35253,2024-07-19 19:33:40,Mobile_App,Bungoma,Safaricom,0
5780a19c-cfa4-4ef9-b854-477f05544c07,S2600,R2738,29186,2024-03-19 06:03:47,Web_Portal,Homa Bay,Telkom,0
17d86add-91c3-426b-804d-a13c974700aa,S275,R4951,56108,2024-08-06 16:28:46,USSD,Nairobi,Telkom,1
1afad199-7ab8-4ebb-b34e-4a3ad96a2dfc,S2283,R4225,89234,2024-09-21 12:46:16,Web_Portal,Garissa,Safaricom,0
d5cf1b11-c780-4aef-884b-03cc57411c90,S1946,R3464,5229,2024-02-22 07:26:13,Web_Portal,Nyeri,Airtel,1
5c005663-f80e-4d40-a995-fa68977c4c2a,S50,R1595,78263,2024-09-18 16:52:46,Web_Portal,Kajiado,Safaricom,1
f8fb351c-d1fa-41e2-9612-63d4a2505bed,S2613,R64,59717,2024-12-25 17:31:43,USSD,Voi,Airtel,0
e6b75e66-59ce-4d96-807b-d81b0f80eb7f,S3038,R1879,30942,2024-10-02 10:08:07,Mobile_App,Nanyuki,Telkom,1
ebe2ef58-69bd-418c-8632-fe8b20532715,S286,R801,89089,2024-07-31 13:48:09,USSD,Eldoret,Safaricom,1
c28d161e-78ae-4a34-87d1-248bf587677c,S448,R4825,93049,2024-08-17 13:39:51,Mobile_App,Kisumu,Telkom,0
4299ae24-9edc-49f7-83ab-347e3688fb5c,S2907,R2433,50683,2024-04-27 17:02:25,Mobile_App,Lamu,Airtel,0
57776ee1-a87e-4a29-a306-d83426df32fc,S4229,R666,57393,2024-07-02 08:51:53,USSD,Mombasa,Telkom,0
41260024-68a2-4e41-b96b-551b3032a517,S3974,R2261,54909,2024-03-04 14:31:27,Web_Portal,Nairobi,Airtel,1
e7355114-32a6-4111-bfc4-2dae685f8a46,S3603,R3399,90871,2024-03-28 10:55:07,Web_Portal,Kakamega,Airtel,0
67680226-da09-42bf-adbc-94a0d6e212d8,S4713,R2821,72250,2024-05-13 10:08:53,USSD,Lamu,Airtel,0
37f61c86-e6ae-4c14-addd-4c37a0441cd2,S1545,R3275,45120,2024-11-22 14:14:31,Web_Portal,Bungoma,Telkom,0
c0ae4c86-87e2-471e-a80d-8730f9718b1d,S2664,R4381,53745,2024-09-22 11:52:12,USSD,Kitale,Airtel,1
